,MTGEFNCL Index,LRC30APR Index,GT5 Govt,FVU2 Comdty,FVZ2 Comdty,FVH3 Comdty,FVM3 Comdty,FVU3 Comdty,FVA Comdty,USGG5YR Index,YIWU22 Comdty,YIWZ22 Comdty,YIWH23 Comdty,YIWM23 Comdty,YIWU23 Comdty,YIWA Comdty,VIX Index,MOVE Index,DXY Curncy,TYA Comdty,MTGEFNCL Index,LRC30APR Index,GT5 Govt,FVU2 Comdty,FVZ2 Comdty,FVH3 Comdty,FVM3 Comdty,FVU3 Comdty,FVA Comdty,USGG5YR Index,YIWU22 Comdty,YIWZ22 Comdty,YIWH23 Comdty,YIWM23 Comdty,YIWU23 Comdty,YIWA Comdty,VIX Index,MOVE Index,DXY Curncy,TYA Comdty
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE
4/5/2023,4.8544,6.492,3.372,108.28125,108.046875,109.5390625,110.75,111.265625,111.265625,3.3709,93.0824,97.826,103.8715,101.07,103.7892,103.7892,19.08,153.9,101.852,117.328125,#N/A N/A,,,108.28125,108.046875,109.5390625,110.75,111.265625,111.265625,#N/A N/A,93.0824,97.826,103.8715,101.07,103.7892,103.7892,,,101.852,117.328125
4/6/2023,4.9128,6.496,3.376,108.28125,108.046875,109.5390625,110.671875,111.1875,111.1875,3.3755,92.9699,97.7137,103.7572,100.965,103.6968,103.6968,18.4,147.73,101.822,117.296875,#N/A N/A,,,108.28125,108.046875,109.5390625,110.671875,111.1875,111.1875,#N/A N/A,92.9699,97.7137,103.7572,100.965,103.6968,103.6968,,,101.822,117.296875
4/7/2023,5.0773,6.496,3.498,108.28125,108.046875,109.5390625,110.09375,110.609375,110.609375,3.4971,92.4867,97.2024,103.2129,100.385,103.1219,103.1219,18.4,139.2,102.092,116.546875,#N/A N/A,,,108.28125,108.046875,109.5390625,110.09375,110.609375,110.609375,#N/A N/A,92.4867,97.2024,103.2129,100.385,103.1219,103.1219,,,102.092,116.546875
4/10/2023,5.1699,6.708,3.52,108.28125,108.046875,109.5390625,109.9375,110.453125,110.453125,3.5194,92.2962,96.9979,102.9923,100.19,102.9245,102.9245,18.97,143,102.578,116.25,#N/A N/A,,,108.28125,108.046875,109.5390625,109.9375,110.453125,110.453125,#N/A N/A,92.2962,96.9979,102.9923,100.19,102.9245,102.9245,,,102.578,116.25
4/11/2023,5.0972,6.693,3.53,108.28125,108.046875,109.5390625,109.765625,110.2890625,110.2890625,3.528,92.1654,96.8607,102.8473,100.06,102.7893,102.7893,19.1,139.78,102.204,116.125,#N/A N/A,,,108.28125,108.046875,109.5390625,109.765625,110.2890625,110.2890625,#N/A N/A,92.1654,96.8607,102.8473,100.06,102.7893,102.7893,,,102.204,116.125
4/12/2023,5.0295,6.572,3.464,108.28125,108.046875,109.5390625,110.1171875,110.6484375,110.6484375,3.4625,92.4545,97.163,103.1654,100.375,103.1057,103.1057,19.09,129.68,101.5,116.46875,#N/A N/A,,,108.28125,108.046875,109.5390625,110.1171875,110.6484375,110.6484375,#N/A N/A,92.4545,97.163,103.1654,100.375,103.1057,103.1057,,,101.5,116.46875
4/13/2023,5.0261,6.593,3.501,108.28125,108.046875,109.5390625,109.96875,110.5,110.5,3.5003,92.3615,97.0576,103.0475,100.245,102.9583,102.9583,17.8,119.95,101.011,116.203125,#N/A N/A,,,108.28125,108.046875,109.5390625,109.96875,110.5,110.5,#N/A N/A,92.3615,97.0576,103.0475,100.245,102.9583,102.9583,,,101.011,116.203125
4/14/2023,5.1764,6.675,3.607,108.28125,108.046875,109.5390625,109.46875,110,110,3.6056,91.9308,96.6,102.5592,99.76,102.4824,102.4824,17.07,118.84,101.552,115.609375,#N/A N/A,,,108.28125,108.046875,109.5390625,109.46875,110,110,#N/A N/A,91.9308,96.6,102.5592,99.76,102.4824,102.4824,,,101.552,115.609375
4/17/2023,5.2988,6.732,3.7,108.28125,108.046875,109.5390625,109.1015625,109.6328125,109.6328125,3.6978,91.595,96.2388,102.1697,99.365,102.078,102.078,16.95,122.69,102.103,115.09375,#N/A N/A,,,108.28125,108.046875,109.5390625,109.1015625,109.6328125,109.6328125,#N/A N/A,91.595,96.2388,102.1697,99.365,102.078,102.078,,,102.103,115.09375
4/18/2023,5.3213,6.763,3.68,108.28125,108.046875,109.5390625,109.1640625,109.6953125,109.6953125,3.6786,91.6286,96.2766,102.2112,99.41,102.1259,102.1259,16.83,122.78,101.745,115.21875,#N/A N/A,,,108.28125,108.046875,109.5390625,109.1640625,109.6953125,109.6953125,#N/A N/A,91.6286,96.2766,102.2112,99.41,102.1259,102.1259,,,101.745,115.21875
4/19/2023,5.3446,6.794,3.702,108.28125,108.046875,109.5390625,108.9453125,109.4765625,109.4765625,3.7013,91.4365,96.0732,101.9946,99.195,101.9127,101.9127,16.46,124.02,101.968,114.921875,#N/A N/A,,,108.28125,108.046875,109.5390625,108.9453125,109.4765625,109.4765625,#N/A N/A,91.4365,96.0732,101.9946,99.195,101.9127,101.9127,,,101.968,114.921875
4/20/2023,5.244,6.752,3.627,108.28125,108.046875,109.5390625,109.3125,109.875,109.875,3.6264,91.7794,96.437,102.3831,99.585,102.311,102.311,17.17,120.61,101.84,115.40625,#N/A N/A,,,108.28125,108.046875,109.5390625,109.3125,109.875,109.875,#N/A N/A,91.7794,96.437,102.3831,99.585,102.311,102.311,,,101.84,115.40625
4/21/2023,5.2507,6.784,3.665,108.28125,108.046875,109.5390625,109.2265625,109.7890625,109.7890625,3.663,91.6858,96.33,102.2621,99.455,102.1726,102.1726,16.77,120.84,101.822,115.203125,#N/A N/A,,,108.28125,108.046875,109.5390625,109.2265625,109.7890625,109.7890625,#N/A N/A,91.6858,96.33,102.2621,99.455,102.1726,102.1726,,,101.822,115.203125
4/24/2023,5.1791,6.726,3.571,108.28125,108.046875,109.5390625,109.484375,110.0625,110.0625,3.5706,91.8966,96.5592,102.5115,99.715,102.4498,102.4498,16.89,126.28,101.348,115.640625,#N/A N/A,,,108.28125,108.046875,109.5390625,109.484375,110.0625,110.0625,#N/A N/A,91.8966,96.5592,102.5115,99.715,102.4498,102.4498,,,101.348,115.640625
4/25/2023,5.0552,6.662,3.45,108.28125,108.046875,109.5390625,110.25,110.828125,110.828125,3.4491,92.5926,97.2979,103.2992,100.5,103.2424,103.2424,18.76,137.13,101.863,116.59375,#N/A N/A,,,108.28125,108.046875,109.5390625,110.25,110.828125,110.828125,#N/A N/A,92.5926,97.2979,103.2992,100.5,103.2424,103.2424,,,101.863,116.59375
4/26/2023,5.1711,6.684,3.498,108.28125,108.046875,109.5390625,110.1015625,110.671875,110.671875,3.4975,92.4532,97.1454,103.1324,100.325,103.0589,103.0589,18.84,130.39,101.467,116.34375,#N/A N/A,,,108.28125,108.046875,109.5390625,110.1015625,110.671875,110.671875,#N/A N/A,92.4532,97.1454,103.1324,100.325,103.0589,103.0589,,,101.467,116.34375
4/27/2023,5.249,6.721,3.593,108.28125,108.046875,109.5390625,109.4765625,110.0546875,110.0546875,3.5912,91.9092,96.566,102.5131,99.705,102.4325,102.4325,17.03,122.43,101.503,115.515625,#N/A N/A,,,108.28125,108.046875,109.5390625,109.4765625,110.0546875,110.0546875,#N/A N/A,91.9092,96.566,102.5131,99.705,102.4325,102.4325,,,101.503,115.515625
4/28/2023,5.1447,6.728,3.485,108.28125,108.046875,109.5390625,109.7421875,110.3359375,110.3359375,3.4828,92.0994,96.7749,102.7417,99.945,102.6876,102.6876,15.78,122.46,101.659,116.015625,#N/A N/A,,,108.28125,108.046875,109.5390625,109.7421875,110.3359375,110.3359375,#N/A N/A,92.0994,96.7749,102.7417,99.945,102.6876,102.6876,,,101.659,116.015625
5/1/2023,5.3213,6.77,3.635,108.28125,108.046875,109.5390625,109.328125,109.9140625,109.9140625,3.6345,91.7469,96.3863,102.3134,99.495,102.2092,102.2092,16.08,128.18,102.151,115.28125,#N/A N/A,,,108.28125,108.046875,109.5390625,109.328125,109.9140625,109.9140625,#N/A N/A,91.7469,96.3863,102.3134,99.495,102.2092,102.2092,,,102.151,115.28125
5/2/2023,5.1172,6.706,3.449,108.28125,108.046875,109.5390625,110.0859375,110.6640625,110.6640625,3.4484,92.3928,97.0819,103.0641,100.26,102.9876,102.9876,17.78,137.55,101.958,116.359375,#N/A N/A,,,108.28125,108.046875,109.5390625,110.0859375,110.6640625,110.6640625,#N/A N/A,92.3928,97.0819,103.0641,100.26,102.9876,102.9876,,,101.958,116.359375
5/3/2023,4.987,6.628,3.3,108.28125,108.046875,109.5390625,110.3359375,110.9296875,110.9296875,3.298,92.5505,97.2498,103.2438,100.445,103.1922,103.1922,18.34,134.5,101.343,116.734375,#N/A N/A,,,108.28125,108.046875,109.5390625,110.3359375,110.9296875,110.9296875,#N/A N/A,92.5505,97.2498,103.2438,100.445,103.1922,103.1922,,,101.343,116.734375
5/4/2023,5.0086,6.588,3.33,108.28125,108.046875,109.5390625,111,111.609375,111.609375,3.3286,93.1309,97.851,103.8719,101.055,103.7876,103.7876,20.09,140.71,101.399,117.40625,#N/A N/A,,,108.28125,108.046875,109.5390625,111,111.609375,111.609375,#N/A N/A,93.1309,97.851,103.8719,101.055,103.7876,103.7876,,,101.399,117.40625
5/5/2023,5.0814,6.667,3.412,108.28125,108.046875,109.5390625,110.3046875,110.9140625,110.9140625,3.4104,92.5321,97.219,103.2008,100.385,103.112,103.112,17.19,130.21,101.214,116.546875,#N/A N/A,,,108.28125,108.046875,109.5390625,110.3046875,110.9140625,110.9140625,#N/A N/A,92.5321,97.219,103.2008,100.385,103.112,103.112,,,101.214,116.546875
5/8/2023,5.1919,6.742,3.492,108.28125,108.046875,109.5390625,109.90625,110.515625,110.515625,3.4912,92.2796,96.9484,102.9097,100.09,102.8086,102.8086,16.98,135.07,101.377,115.984375,#N/A N/A,,,108.28125,108.046875,109.5390625,109.90625,110.515625,110.515625,#N/A N/A,92.2796,96.9484,102.9097,100.09,102.8086,102.8086,,,101.377,115.984375
5/9/2023,5.2362,6.726,3.496,108.28125,108.046875,109.5390625,109.9140625,110.53125,110.53125,3.4947,92.3073,96.9849,102.954,100.14,102.8656,102.8656,17.71,133.93,101.605,116.015625,#N/A N/A,,,108.28125,108.046875,109.5390625,109.9140625,110.53125,110.53125,#N/A N/A,92.3073,96.9849,102.954,100.14,102.8656,102.8656,,,101.605,116.015625
5/10/2023,5.0908,6.682,3.385,108.28125,108.046875,109.5390625,110.4765625,111.1015625,111.1015625,3.3845,92.7457,97.4499,103.4499,100.64,103.3753,103.3753,16.94,125.6,101.477,116.75,#N/A N/A,,,108.28125,108.046875,109.5390625,110.4765625,111.1015625,111.1015625,#N/A N/A,92.7457,97.4499,103.4499,100.64,103.3753,103.3753,,,101.477,116.75
5/11/2023,5.0476,6.622,3.357,108.28125,108.046875,109.5390625,110.484375,111.1171875,111.1171875,3.3553,92.8056,97.5209,103.5321,100.735,103.4889,103.4889,16.93,128.21,102.058,116.90625,#N/A N/A,,,108.28125,108.046875,109.5390625,110.484375,111.1171875,111.1171875,#N/A N/A,92.8056,97.5209,103.5321,100.735,103.4889,103.4889,,,102.058,116.90625
5/12/2023,5.1962,6.72,3.447,108.28125,108.046875,109.5390625,110.0546875,110.6875,110.6875,3.4462,92.4527,97.1406,103.121,100.315,103.0543,103.0543,17.03,120.52,102.681,116.28125,#N/A N/A,,,108.28125,108.046875,109.5390625,110.0546875,110.6875,110.6875,#N/A N/A,92.4527,97.1406,103.121,100.315,103.0543,103.0543,,,102.681,116.28125
5/15/2023,5.2254,6.756,3.47,108.28125,108.046875,109.5390625,110.0078125,110.6328125,110.6328125,3.4686,92.4137,97.0912,103.0612,100.245,102.9768,102.9768,17.12,127.89,102.434,116.078125,#N/A N/A,,,108.28125,108.046875,109.5390625,110.0078125,110.6328125,110.6328125,#N/A N/A,92.4137,97.0912,103.0612,100.245,102.9768,102.9768,,,102.434,116.078125
5/16/2023,5.2623,6.812,3.527,108.28125,108.046875,109.5390625,109.7578125,110.3828125,110.3828125,3.5257,92.211,96.8731,102.826,100.005,102.7276,102.7276,17.99,130.3,102.564,115.75,#N/A N/A,,,108.28125,108.046875,109.5390625,109.7578125,110.3828125,110.3828125,#N/A N/A,92.211,96.8731,102.826,100.005,102.7276,102.7276,,,102.564,115.75
5/17/2023,5.2894,6.779,3.586,108.28125,108.046875,109.5390625,109.4296875,110.0546875,110.0546875,3.5848,91.973,96.6234,102.5631,99.745,102.4675,102.4675,16.87,120.78,102.882,115.40625,#N/A N/A,,,108.28125,108.046875,109.5390625,109.4296875,110.0546875,110.0546875,#N/A N/A,91.973,96.6234,102.5631,99.745,102.4675,102.4675,,,102.882,115.40625
5/18/2023,5.3928,6.884,3.685,108.28125,108.046875,109.5390625,108.9375,109.5390625,109.5390625,3.6843,91.5049,96.1296,102.0407,99.225,101.9438,101.9438,16.05,122.5,103.584,114.71875,#N/A N/A,,,108.28125,108.046875,109.5390625,108.9375,109.5390625,109.5390625,#N/A N/A,91.5049,96.1296,102.0407,99.225,101.9438,101.9438,,,103.584,114.71875
5/19/2023,5.467,6.92,3.733,108.28125,108.046875,109.5390625,108.6875,109.2734375,109.2734375,3.7319,91.3451,95.9495,101.8381,99.005,101.6962,101.6962,16.81,127.51,103.198,114.34375,#N/A N/A,,,108.28125,108.046875,109.5390625,108.6875,109.2734375,109.2734375,#N/A N/A,91.3451,95.9495,101.8381,99.005,101.6962,101.6962,,,103.198,114.34375
5/22/2023,5.4971,6.919,3.763,108.28125,108.046875,109.5390625,108.609375,109.2109375,109.2109375,3.7619,91.2363,95.8354,101.7174,98.885,101.5779,101.5779,17.21,132.29,103.198,114.25,#N/A N/A,,,108.28125,108.046875,109.5390625,108.609375,109.2109375,109.2109375,#N/A N/A,91.2363,95.8354,101.7174,98.885,101.5779,101.5779,,,103.198,114.25
5/23/2023,5.4973,6.942,3.744,108.28125,108.046875,109.5390625,108.6796875,109.28125,109.28125,3.7426,91.2676,95.8699,101.7561,98.93,101.6347,101.6347,18.53,131.7,103.488,114.390625,#N/A N/A,,,108.28125,108.046875,109.5390625,108.6796875,109.28125,109.28125,#N/A N/A,91.2676,95.8699,101.7561,98.93,101.6347,101.6347,,,103.488,114.390625
5/24/2023,5.604,7.001,3.82,108.28125,108.046875,109.5390625,108.53125,109.140625,109.140625,3.8186,91.1409,95.7444,101.6308,98.815,101.5319,101.5319,20.03,132.29,103.887,114.21875,#N/A N/A,,,108.28125,108.046875,109.5390625,108.53125,109.140625,109.140625,#N/A N/A,91.1409,95.7444,101.6308,98.815,101.5319,101.5319,,,103.887,114.21875
5/25/2023,5.7616,7.074,3.914,108.28125,108.046875,109.5390625,107.84375,108.4453125,108.4453125,3.9131,90.5886,95.1493,100.9882,98.16,100.8617,100.8617,19.14,139.54,104.251,113.40625,#N/A N/A,,,108.28125,108.046875,109.5390625,107.84375,108.4453125,108.4453125,#N/A N/A,90.5886,95.1493,100.9882,98.16,100.8617,100.8617,,,104.251,113.40625
5/26/2023,5.7892,7.103,3.929,108.28125,108.046875,109.5390625,107.5703125,108.1796875,108.1796875,3.9271,90.3457,94.8981,100.727,97.905,100.6056,100.6056,17.95,145.37,104.206,113.1875,#N/A N/A,,,108.28125,108.046875,109.5390625,107.5703125,108.1796875,108.1796875,#N/A N/A,90.3457,94.8981,100.727,97.905,100.6056,100.6056,,,104.206,113.1875
5/29/2023,5.7892,7.103,3.929,108.28125,108.046875,109.5390625,107.5703125,108.1796875,108.1796875,3.9271,90.3457,94.8981,100.727,97.905,100.6056,100.6056,17.46,145.37,104.206,113.1875,#N/A N/A,,,108.28125,108.046875,109.5390625,107.5703125,108.1796875,108.1796875,#N/A N/A,90.3457,94.8981,100.727,97.905,100.6056,100.6056,,,104.206,113.1875
5/30/2023,5.5794,7.011,3.808,108.28125,108.046875,109.5390625,108.078125,108.734375,108.734375,3.8067,90.8864,95.4778,101.3492,98.54,101.2743,101.2743,17.46,141.36,104.165,114.03125,#N/A N/A,,,108.28125,108.046875,109.5390625,108.078125,108.734375,108.734375,#N/A N/A,90.8864,95.4778,101.3492,98.54,101.2743,101.2743,,,104.165,114.03125
5/31/2023,5.4688,6.986,3.756,108.28125,108.046875,109.5390625,108.4609375,109.078125,109.078125,3.7547,91.1962,95.8084,101.7017,98.895,101.6301,101.6301,17.94,136.02,104.326,114.46875,#N/A N/A,,,108.28125,108.046875,109.5390625,108.4609375,109.078125,109.078125,#N/A N/A,91.1962,95.8084,101.7017,98.895,101.6301,101.6301,,,104.326,114.46875
6/1/2023,5.4092,6.929,3.698,108.28125,108.046875,109.5390625,108.703125,109.2890625,109.2890625,3.6975,91.3746,95.9999,101.9087,99.105,101.8393,101.8393,15.65,124.63,103.56,114.734375,#N/A N/A,,,108.28125,108.046875,109.5390625,108.703125,109.2890625,109.2890625,#N/A N/A,91.3746,95.9999,101.9087,99.105,101.8393,101.8393,,,103.56,114.734375
6/2/2023,5.5038,6.984,3.845,108.28125,108.046875,109.5390625,108.0703125,108.625,108.625,3.8437,90.7775,95.3626,101.2262,98.415,101.1285,101.1285,14.6,120.95,104.015,113.84375,#N/A N/A,,,108.28125,108.046875,109.5390625,108.0703125,108.625,108.625,#N/A N/A,90.7775,95.3626,101.2262,98.415,101.1285,101.1285,,,104.015,113.84375
6/5/2023,5.518,7.022,3.819,108.28125,108.046875,109.5390625,108.1328125,108.671875,108.671875,3.8176,90.8999,95.4939,101.3664,98.555,101.27,101.27,14.73,119.08,104.002,113.890625,#N/A N/A,,,108.28125,108.046875,109.5390625,108.1328125,108.671875,108.671875,#N/A N/A,90.8999,95.4939,101.3664,98.555,101.27,101.27,,,104.002,113.890625
6/6/2023,5.4671,7.011,3.809,108.28125,108.046875,109.5390625,108.03125,108.5390625,108.5390625,3.8072,90.7957,95.3868,101.2556,98.45,101.1646,101.1646,13.96,114.42,104.125,113.78125,#N/A N/A,,,108.28125,108.046875,109.5390625,108.03125,108.5390625,108.5390625,#N/A N/A,90.7957,95.3868,101.2556,98.45,101.1646,101.1646,,,104.125,113.78125
6/7/2023,5.571,7.013,3.941,108.28125,108.046875,109.5390625,107.765625,108.265625,108.265625,3.9404,90.5347,95.1024,100.9458,98.125,100.8138,100.8138,13.94,120.5,104.099,113.21875,#N/A N/A,,,108.28125,108.046875,109.5390625,107.765625,108.265625,108.265625,#N/A N/A,90.5347,95.1024,100.9458,98.125,100.8138,100.8138,,,104.099,113.21875
6/8/2023,5.4331,7.004,3.859,108.28125,108.046875,109.5390625,108.03125,108.53125,108.53125,3.8581,90.7376,95.3221,101.1845,98.375,101.0832,101.0832,13.65,115.11,103.343,113.734375,#N/A N/A,,,108.28125,108.046875,109.5390625,108.03125,108.53125,108.53125,#N/A N/A,90.7376,95.3221,101.1845,98.375,101.0832,101.0832,,,103.343,113.734375
6/9/2023,5.4614,6.969,3.914,108.28125,108.046875,109.5390625,107.7265625,108.2109375,108.2109375,3.9128,90.4675,95.0447,100.8965,98.095,100.8005,100.8005,13.83,115.77,103.557,113.390625,#N/A N/A,,,108.28125,108.046875,109.5390625,107.7265625,108.2109375,108.2109375,#N/A N/A,90.4675,95.0447,100.8965,98.095,100.8005,100.8005,,,103.557,113.390625
6/12/2023,5.4071,6.964,3.895,108.28125,108.046875,109.5390625,107.75,108.2421875,108.2421875,3.8936,90.5091,95.0889,100.9427,98.14,100.8463,100.8463,15.01,119.8,103.654,113.359375,#N/A N/A,,,108.28125,108.046875,109.5390625,107.75,108.2421875,108.2421875,#N/A N/A,90.5091,95.0889,100.9427,98.14,100.8463,100.8463,,,103.654,113.359375
6/13/2023,5.5241,6.995,3.992,108.28125,108.046875,109.5390625,107.296875,107.7421875,107.7421875,3.9907,90.0733,94.6274,100.4528,97.645,100.3196,100.3196,14.61,118.8,103.338,112.671875,#N/A N/A,,,108.28125,108.046875,109.5390625,107.296875,107.7421875,107.7421875,#N/A N/A,90.0733,94.6274,100.4528,97.645,100.3196,100.3196,,,103.338,112.671875
6/14/2023,5.5359,7.014,3.99,108.28125,108.046875,109.5390625,107.296875,107.7578125,107.7578125,3.9891,90.1152,94.6804,100.5165,97.72,100.4011,100.4011,13.88,114.37,102.948,112.875,#N/A N/A,,,108.28125,108.046875,109.5390625,107.296875,107.7578125,107.7578125,#N/A N/A,90.1152,94.6804,100.5165,97.72,100.4011,100.4011,,,102.948,112.875
6/15/2023,5.3907,6.958,3.912,108.28125,108.046875,109.5390625,107.7265625,108.125,108.125,3.9098,90.3714,94.9529,100.806,98.015,100.7128,100.7128,14.5,107.34,102.115,113.453125,#N/A N/A,,,108.28125,108.046875,109.5390625,107.7265625,108.125,108.125,#N/A N/A,90.3714,94.9529,100.806,98.015,100.7128,100.7128,,,102.115,113.453125
6/16/2023,5.4257,6.973,3.985,108.28125,108.046875,109.5390625,107.390625,107.78125,107.78125,3.9828,90.0817,94.6485,100.4841,97.6937,100.385,100.385,13.54,104.43,102.243,113.046875,#N/A N/A,,,108.28125,108.046875,109.5390625,107.390625,107.78125,107.78125,#N/A N/A,90.0817,94.6485,100.4841,97.6937,100.385,100.385,,,102.243,113.046875
6/19/2023,5.4257,6.973,3.985,108.28125,108.046875,109.5390625,107.390625,107.78125,107.78125,3.9828,90.0817,94.6485,100.4841,97.6937,100.385,100.385,14.19,104.43,102.522,113.046875,#N/A N/A,,,108.28125,108.046875,109.5390625,107.390625,107.78125,107.78125,#N/A N/A,90.0817,94.6485,100.4841,97.6937,100.385,100.385,,,102.522,113.046875
6/20/2023,5.4461,6.956,3.954,108.28125,108.046875,109.5390625,107.546875,107.9375,107.9375,3.9529,90.2003,94.7827,100.6346,97.8568,100.565,100.565,13.88,114.19,102.54,113.3125,#N/A N/A,,,108.28125,108.046875,109.5390625,107.546875,107.9375,107.9375,#N/A N/A,90.2003,94.7827,100.6346,97.8568,100.565,100.565,,,102.54,113.3125
6/21/2023,5.4251,6.956,3.957,108.28125,108.046875,109.5390625,107.59375,107.96875,107.96875,3.9566,90.213,94.7941,100.6451,97.8657,100.575,100.575,13.2,110.84,102.071,113.3125,#N/A N/A,,,108.28125,108.046875,109.5390625,107.59375,107.96875,107.96875,#N/A N/A,90.213,94.7941,100.6451,97.8657,100.575,100.575,,,102.071,113.3125
6/22/2023,5.4251,6.956,3.969,108.28125,108.046875,109.5390625,107.59375,107.875,107.875,3.9674,90.213,94.7941,100.6451,97.8657,100.575,100.575,13.2,110.84,102.089,113.203125,#N/A N/A,,,108.28125,108.046875,109.5390625,107.59375,107.96875,107.96875,#N/A N/A,90.213,94.7941,100.6451,97.8657,100.575,100.575,,,102.071,113.3125
